group_size,scenario,gap_x,gap_y,v_x_ped,v_y_ped,v_x_veh,v_y_veh,reward
1,medium,7.93928965969053,4.509490848550225,0.15296235605152253,0.0,1.266196041942645,2.250523632171052,-0.25522226095199585
1,medium,9.384400506665582,5.179546374779445,1.8562205134669472,0.0,0.998560087763249,1.9566972126400124,-0.8839354515075684
1,medium,8.8173135277478,4.961147221132027,1.8045909114284804,0.0,0.6832972068975243,1.4449619772515763,-2.5129995346069336
1,medium,8.551611968241424,3.3806095689951356,0.43892883579704395,0.0,1.0888748748843284,1.3402299474423969,-0.23395705223083496
1,medium,10.654935390640428,5.069168791276619,0.46886846219971884,-0.13722636724522574,0.9446662754083806,1.0768156708991723,-0.6545850038528442
1,medium,8.929884692179677,3.505604786113791,0.8812014280835694,0.0,0.6018046275107435,1.2146913068948886,-1.258247971534729
1,medium,6.802932346993231,5.625581522168494,-0.2559589377568209,0.0,1.268684698579273,2.1644541749572315,-0.09443676471710205
1,medium,9.960353188674917,3.5180805671151427,0.483265229151249,0.0,1.4871421139489758,0.0,-1.2379223108291626
1,medium,8.987490407938044,3.548989508341372,0.575557060461469,0.0,0.42197971490399366,0.5890432131109893,-1.1182618141174316
1,medium,6.979952323497122,2.5023051761710624,0.4059474464324032,0.0,0.7525126967328416,1.7282028531906393,-0.9263993501663208
1,medium,10.240665722663197,6.47450712721154,1.3905106507611746,0.0,0.7557373141602322,2.241308614560973,-0.4426391124725342
1,medium,8.015342180150613,2.421465487552751,0.6426242254563802,0.0,1.6386044652005625,2.983638495428358,0.5028004050254822
1,medium,6.757046469036914,4.277443701940572,1.101878999193655,0.0,1.0235958083061467,4.064341351135215,1.0808037519454956
1,medium,8.90766385145687,3.317915710653999,0.3166214382020096,0.0,0.6081281790901543,0.0,-1.2902135848999023
1,medium,8.479143118935289,4.5967185840113975,0.37745143181922863,0.0,1.3490796993225163,1.7855922219093125,-0.8841896057128906
1,medium,7.64820769271783,4.447094181264024,1.261621532264074,0.0,0.909869713534324,2.851169921440368,-0.05191320180892944
1,medium,7.60853310639175,1.3929192622545599,0.8495712691526388,0.0,1.4248648368521262,0.8678843918008143,-0.6236110925674438
1,medium,9.722056758845907,2.7209997240606163,0.9752979037471663,-0.3297210434213056,0.8971837672603769,1.4569783200640822,-0.9904078245162964
1,medium,9.350543677045097,2.7322002773944,0.28199778405389414,0.0,0.7912594933755914,0.17810585643864973,1.3941949605941772
1,medium,8.389001963185391,4.184504259669052,0.42823081262574053,0.0,1.2533428366952222,0.22567730205396985,1.2643146514892578
1,medium,9.484928149121515,4.6602976930564965,1.1789065376540366,0.0,0.9165633061386314,0.1635647091492265,0.5297659635543823
1,medium,10.742949138619156,0.8496306815201891,-0.3345274724105848,-0.2045985380704589,0.5105923412015219,0.7001748307612562,0.5105233192443848
1,medium,7.982180111026624,3.534428814809549,0.8749548891326353,0.0,1.3381967788667137,1.910424836148227,-0.265469491481781
1,medium,8.296143901149446,0.6425130041623679,1.432080587854737,0.0,1.3730123133366126,0.35382297074330216,-1.883367657661438
1,medium,7.898862364791275,2.1155467800811243,0.5424864792350748,0.0,0.58323489844384,2.208139000580445,-0.513744592666626
1,medium,8.78519757053444,3.4526073738335956,1.1154579174403447,0.0,1.6834136986412722,0.0,-1.0386444330215454
1,medium,9.181007235826668,3.2547798675198694,-0.0745023964758782,0.0,0.808625406410082,1.3754278478356698,1.4172275066375732
1,medium,10.352599911858157,4.333465424911702,0.4959069669850851,0.0,0.9369759909912145,0.7379002661223186,-0.7039417028427124
1,medium,8.109418840593923,4.279751361384127,1.0229287266337344,0.0,1.6408682452838739,0.0,-1.1724530458450317
1,medium,9.329764290758247,4.8161453183963845,0.7941094521524692,0.0,0.35278852502813796,1.0519458026046302,-0.9793194532394409
1,medium,10.173000023044636,2.709829901903868,0.35296859509967005,0.0,0.7071480873726842,0.6212741369963453,-0.6310218572616577
1,medium,7.866167937827194,3.0300436089290983,1.1265072364823885,0.0,1.5692565051433602,1.4273395759062382,-0.5105981230735779
1,medium,7.4198977960914565,4.094300160509374,1.7275767996605982,0.0,0.9064591655163373,0.41910407149545237,1.4283533096313477
1,medium,8.782299750372582,3.260583095206905,0.872792352929333,0.0,1.3890879427304437,1.523922428390125,-0.26508867740631104
1,medium,8.155275286301844,4.2396208622064115,1.6846827254465586,0.0,0.634259136380414,0.0,-2.819974899291992
1,medium,8.782086800884754,2.0518618000774653,0.2782507078424714,0.0,1.6298220446950986,0.15561408530266607,1.8870095014572144
1,medium,7.224264762061603,5.4767715924876805,-0.33247940830623135,0.0,0.9995171827778125,2.084039900058256,0.2230728268623352
1,medium,8.296298257510369,4.566377549072607,0.8534579405014552,-0.2566975721505522,0.9706746105224205,0.08999694595032093,1.0145562887191772
1,medium,8.041577434055801,6.240692584807174,0.0925947716766159,0.0,0.859549836016407,0.0,-0.9702605605125427
1,medium,8.48329944123519,2.5452701267486235,0.8408240919506674,0.0,0.7498256146469151,0.0,-1.3099279403686523
1,medium,9.257467268105348,0.7305764809831437,0.5346631123979538,0.0,1.0824042537852676,1.5793060317493008,-0.9615755677223206
1,medium,8.463496483815895,4.079408054720749,1.2667851589005488,0.0,1.0088721994343088,0.8299689479840344,-1.5833137035369873
1,medium,7.327833108299563,3.0162519960654754,0.6900673400405724,0.0,1.0792542770680433,3.2133874852661535,0.33378058671951294
1,medium,8.628520079075443,4.838804176053368,0.7397777035468832,0.0,1.0761229704699207,0.7374037020361163,-1.0737695693969727
1,medium,8.968270086913975,4.603224978127834,0.7984663644511202,0.0,0.935445599183328,0.7396465501563665,-1.8490281105041504
1,medium,8.73129062953851,0.4152027518425778,0.36135529209087097,0.0,0.8630991235823112,1.9009450448180871,-0.6522213816642761
1,medium,9.23984136617415,0.2184141232662471,0.7934130448119799,0.0,1.2658848497630562,0.6197563886863513,-0.9994655847549438
1,medium,8.736152900495792,4.764217395737841,0.24390839847516155,0.0,0.9487305003922899,0.44355045156303075,0.015058040618896484
1,medium,7.876912192535877,2.786491711450619,0.7284229743230688,0.0,0.5183963728399544,0.3284446830864084,-1.2803462743759155
1,medium,9.57638395782963,0.40562601367744433,0.8647147811495877,0.0,0.5587840423167709,0.0,-1.7034367322921753
1,medium,10.942748375439107,3.7382405326413988,0.6941787451444764,-0.11297806490558937,0.611380681434949,2.0975983315104916,0.041066110134124756
1,medium,9.698454378432217,2.034079570333617,2.02432921938534,0.0,0.8174074104327728,1.7327746828628752,-1.514337420463562
1,medium,8.406251993989487,5.132471942060164,1.0304639382072212,0.0,1.3870970832736278,1.6336408751288047,-0.5271503925323486
1,medium,10.210102384135721,3.8073269182164573,0.7054841289663685,0.0,1.4202266429955257,2.1039998320975126,-0.24121606349945068
1,medium,8.91848142899294,3.696416429781626,1.634905247966344,0.0,1.1280952025308155,1.390975421297772,-1.8409250974655151
1,medium,8.314883621619439,2.4599288406215543,0.1140712685010904,0.0,0.8716505013272218,0.3191154157448267,-0.3928902745246887
1,medium,9.16263385917421,4.127598161018799,1.163661383989097,-0.34109941509396813,1.1052079281011096,4.1747233964507835,1.8475261926651
1,medium,8.185863783059183,1.5807070088840325,-0.28527028260485265,0.0,0.9650259140623796,3.5815072322641566,0.22585266828536987
1,medium,8.721500335843597,4.866367941085826,0.8697414212477844,0.0,0.5366361244675755,2.118129427570559,-0.054629743099212646
1,medium,7.944595920326022,3.235000416856412,0.46184494865373443,0.0,1.4125531013367447,1.620470110755003,-0.799903929233551
